identificador	nome	miniatura	tiporecurso	resumo	disciplina	ano	descritores	OS	navegadores	programas	linkdown	visualizar	tema	origem	autores	idioma	data
45	Língua solta	recursos/img/Desktop/Portugues/4/linguasolta.png	Exercício e prática.	O recurso "Língua solta" busca estimular a percepção dos alunos em relação ao reconhecimento dos substantivos compostos ligados por hífen, bem como a formação de seus plurais.	Portugues	4	DPI4; DPI14; DPII19	windows; linux		flash	recursos/recurso/Portugues/4/linguasolta.zip	recursos/recurso/Portugues/4/linguasolta.swf	Uso do hífen. Substativos compostos. Plural.	Rede Interativa Virtual de Educação (RIVED).	UNIFRA, Universidade Federal de Santa Maria (UFSM).	Português.	2008.
49	Jogo Ler é Preciso	recursos/img/Desktop/Portugues/4/jogolerepreciso.png	Exercício e prática.	O recurso "Jogo Ler é Preciso" apresenta um vocabulário diverso, por meio de uma árvore formada por letras, palavras e definições.	Portugues	4	DPI3; DPI4	windows; linux		flash	recursos/recurso/Portugues/4/jogolerepreciso.zip	recursos/recurso/Portugues/4/jogolerepreciso.swf	Linguagem escrita. Vocabulário. Leitura.	Portal do Professor.	Instituto Eco Futuro.	Português.	2009.
50	Chiclete	recursos/img/Desktop/Portugues/4/chiclete.png	Vídeo.	O recurso “Chiclete” é um episódio do "Programa Orto e Grafia", apresentado pela TV Escola. O vídeo utiliza o teatro de bonecos para o ensino da grafia de algumas palavras grafadas com ‘-x’ e com ‘-ch’.	Portugues	4	DPI1; DPII19	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/4/chiclete.zip	recursos/recurso/Portugues/4/chiclete.wmv	Palavras com ‘-x’ e ‘-ch’. Pronúncia. Grafia.	Portal do Professor.	Ministério da Educação (MEC).	Português.	2008.
51	Ferrugem [Orto e grafia]	recursos/img/Desktop/Portugues/4/ferrugem.png	Vídeo.	O recurso “Ferrugem [Orto e grafia]” é um episódio do "Programa Orto e Grafia", apresentado pela TV Escola. O vídeo utiliza o teatro de bonecos para o ensino da grafia de algumas palavras grafadas com ‘-g’ e com ‘-j’.	Portugues	4	DPI1; DPII19	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/4/ferrugem.zip	recursos/recurso/Portugues/4/ferrugem.wmv	Palavras com ‘-g’ e ‘-j’. Pronúncia. Grafia.	Portal do Professor.	Ministério da Educação (MEC).	Português.	2008.
52	Arte - harpa	recursos/img/Desktop/Portugues/4/arteharpa.png	Vídeo.	O recurso “Arte - harpa” é um episódio do "Programa Orto e Grafia", apresentado pela TV Escola. O vídeo utiliza o teatro de bonecos para o ensino da grafia de algumas palavras como arpão, arame, harmonia, arte, haste e harmônica.	Portugues	4	DPI1; DPII19	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/4/arteharpa.zip	recursos/recurso/Portugues/4/arteharpa.wmv	Ortografia. Fonologia.	Banco Internacional de Objetos Educacionais (BIOE).	Ministério da Educação (MEC), Portal Domínio Público.	Português.	2008.
53	Gíria	recursos/img/Desktop/Portugues/4/giria.png	Vídeo.	O recurso “Gíria” é um vídeo do "Programa Mais Educação" que apresenta a definição de gíria e a forma como ela é utilizada.	Portugues	4	DPI1; DPI3; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/4/giria.zip	recursos/recurso/Portugues/4/giria.wmv	Gíria. Oralidade. Linguagem escrita.	Portal do Professor.	Leandro Ferreira.	Português.	2008.
54	Expressões [Sua língua]	recursos/img/Desktop/Portugues/4/expressoessualingua.png	Vídeo.	O recurso “Expressões [Sua língua]" apresenta o significado de algumas expressões populares, bem como a escrita de palavras que utilizam o ‘-m’ e o ‘-n’.	Portugues	4	DPI3; DPI4; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/4/expressoessualingua.zip	recursos/recurso/Portugues/4/expressoessualingua.wmv	Expressões populares. Palavras com ‘-m’ e ‘-n’. Pronúncia. Grafia.	Banco Internacional de Objetos Educacionais (BIOE)	Ministério da Educação (MEC), Portal Domínio Público.	Português.	2009.
55	Ditos populares [Sua língua]	recursos/img/Desktop/Portugues/4/ditospopularessualingua.png	Vídeo.	O recurso "Ditos populares [Sua língua]” é um episódio do "Programa Sua Língua", da TV Escola. O vídeo apresenta os significados e o uso dos ditos populares, propiciando uma reflexão sobre a língua materna.	Portugues	4	DPI3; DPI4; DPI5; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/4/ditospopularessualingua.zip	recursos/recurso/Portugues/4/ditospopularessualingua.wmv	Ditos populares Linguagem oral. Cultura.	Portal do Professor.	Ministério da Educação (MEC).	Português.	2009.
56	Primeiras palavras [Sua língua]	recursos/img/Desktop/Portugues/4/primeiraspalavrassualingua.png	Vídeo.	O recurso “Primeiras palavras [Sua língua]” é um episódio do "Programa Sua Língua", da TV Escola. O vídeo apresenta a história das palavras e os seus significados, mostrando como elas começaram a integrar o cotidiano das pessoas.	Portugues	4	DPI3; DPI4; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/4/primeiraspalavrassualingua.zip	recursos/recurso/Portugues/4/primeiraspalavrassualingua.wmv	Significado das palavras. Linguagem oral e escrita. História.	Portal do Professor.	Ministério da Educação (MEC).	Português.	2009.
57	Adjetivo [Sua língua]	recursos/img/Desktop/Portugues/4/adjetivosualingua.png	Vídeo.	O recurso “Adjetivo [Sua língua]” é um episódio do "Programa Sua Língua", da TV Escola. O vídeo apresenta os adjetivos e os seus usos na Língua Portuguesa.	Portugues	4	DPI3; DPI4; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/4/adjetivosualingua.zip	recursos/recurso/Portugues/4/adjetivosualingua.wmv	Morfologia. Adjetivos.	Portal do Professor.	Ministério da Educação (MEC).	Português.	2009.
58	Futebol [Sua língua]	recursos/img/Desktop/Portugues/4/futebolsualingua.png	Vídeo.	O recurso “Futebol [Sua língua]” é um episódio do "Programa Sua Língua", da TV Escola. O vídeo apresenta uma reflexão sobre o futebol e a sua contribuição para a Língua Portuguesa.	Portugues	4	DPI3; DPI4	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/4/futebolsualingua.zip	recursos/recurso/Portugues/4/futebolsualingua.wmv	Linguagem. Futebol.	Portal do Professor.	Ministério da Educação (MEC).	Português.	2009.
59	Quem não se comunica… [Sua língua]	recursos/img/Desktop/Portugues/4/quemnaosecomunicasualingua.png	Vídeo.	O recurso “Quem não se comunica… [Sua Língua]” é um episódio do "Programa Sua Língua", da TV Escola. O vídeo apresenta o surgimento de novas palavras da Língua Portuguesa, utilizando-se de um texto literário para exemplificar como essas palavras são inventadas e como elas passam a integrar o cotidiano das pessoas.	Portugues	4	DPI3; DPI4; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/4/quemnaosecomunicasualingua.zip	recursos/recurso/Portugues/4/quemnaosecomunicasualingua.wmv	Linguagem. História das palavras. Literatura.	Portal do Professor.	Ministério da Educação (MEC).	Português.	2009.
60	Monteiro Lobato	recursos/img/Desktop/Portugues/4/monteirolobato.png	Vídeo.	O recurso “Monteiro Lobato” é um vídeo do "Programete Mais Educação" que apresenta uma breve biografia de um dos escritores brasileiros mais famosos da literatura, Monteiro Lobato. O vídeo destaca o início de sua carreira e as suas principais obras.	Portugues	4	DPI1; DPI6	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/4/monteirolobato.zip	recursos/recurso/Portugues/4/monteirolobato.wmv	Leitura. Literatura. Monteiro Lobato.	Portal do Professor.	Leandro Ferreira.	Português.	2008.
61	Ruth Rocha	recursos/img/Desktop/Portugues/4/ruthrocha.png	Vídeo.	O recurso “Ruth Rocha” é um vídeo do "Programete Mais Educação" que apresenta uma breve biografia de uma das escritoras brasileiras de livros infantis mais renomadas, Ruth Rocha. O vídeo destaca o início de sua carreira e as suas principais obras.	Portugues	4	DPI1; DPI6	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/4/ruthrocha.zip	recursos/recurso/Portugues/4/ruthrocha.wmv	Leitura. Literatura. Ruth Rocha.	Portal do Professor.	Leandro Ferreira.	Português.	2008.
62	Mexerica - arrepio	recursos/img/Desktop/Portugues/4/mexericaarrepio.png	Vídeo.	O recurso “Mexerica - arrepio” é um episódio do "Programa Orto e Grafia", apresentado pela TV Escola. O vídeo utiliza o teatro de bonecos para ensinar a grafia de palavras como arrepiada, prevenir, privilégio, mexerica, empecilho, despender, calcário e invólucro.	Portugues	4	DPI1; DPII19	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/4/mexericaarrepio.zip	recursos/recurso/Portugues/4/mexericaarrepio.wmv	Fonologia. Ortografia. Escrita de palavras.	Portal do Professor.	Ministério da Educação (MEC).	Português.	2008.
63	Fábulas	recursos/img/Desktop/Portugues/4/fabulas.png	Ferramenta.	O recurso “Fábulas” trabalha com o gênero discursivo fábula e as suas principais características, a partir da construção autoral de uma fábula. Desse modo, o recurso busca estimular a criatividade e a imaginação durante a escrita do gênero.	Portugues	4	DPI1; DPI5; DPI6; DPI7; DPI9; DPII19	windows; linux		flash	recursos/recurso/Portugues/4/fabulas.zip	recursos/recurso/Portugues/4/fabulas/fabulas.swf	Gênero discursivo. Fábula. Produção textual.	Grupo de Pesquisa e Produção de Ambientes Interativos e Objetos de Aprendizagem (PROATIVA).	Grupo de Pesquisa e Produção de Ambientes Interativos e Objetos de Aprendizagem (PROATIVA).	Português.	2009.
64	Fábrica de Tirinhas	recursos/img/Desktop/Portugues/4/fabricadetirinhas.png	Ferramenta.	O recurso “Fábrica de Tirinhas” trabalha com a criação de tirinhas, a partir da construção autoral dos quadrinhos. O recurso utiliza cenários, personagens, objetos e balões de diálogos, dando ênfase à criatividade e à imaginação.	Portugues	4	DPI1; DPI2; DPI5; DPI6; DPI7; DPI14; DPII18; DPII19	windows; linux		flash	recursos/recurso/Portugues/4/fabricadetirinhas.zip	recursos/recurso/Portugues/4/fabricadetirinhas/tirinhas/tirinhas.swf	Gênero discursivo. Tirinha. Produção textual.	Grupo de Pesquisa e Produção de Ambientes Interativos e Objetos de Aprendizagem (PROATIVA).	Grupo de Pesquisa e Produção de Ambientes Interativos e Objetos de Aprendizagem (PROATIVA).	Português.	2009.
65	Revista Digital da Criança	recursos/img/Desktop/Portugues/4/revistadigitaldacrianca.png	Revista digital.	O RED “Revista Digital da Criança” trabalha com a estrutura de uma revista e os gêneros que a compõem, ampliando a consciência dos alunos sobre os conteúdos abordados. Além disso, o recurso apresenta as principais características textuais e organizacionais dos gêneros propostos.	Portugues	4	DPI1; DPI5; DPI6; DPI9	windows; linux	chrome; firefox; edge		recursos/recurso/Portugues/4/revistadigitaldacrianca.zip	recursos/recurso/Portugues/4/revistadigitaldacrianca/revistadigitaldacriancared/index.html	Revista. Gêneros textuais. Editorial. Infográfico. Entrevista. Cartas dos leitores.	Plataforma MEC de Recursos Educacionais Digitais (RED) /  Grupo de Pesquisa e Produção de Ambientes Interativos e Objetos de Aprendizagem (PROATIVA).	Raquel Santiago Freire, Mércia Valéria Campos Figueiredo, Rayssa Araújo Hitzschky, Danilo Coêlho Sousa, José Aires de Castro Filho, Gilson Júnior, Antônio Melo Júnior, Henrique Pequeno, Márcio Moreira, Julianne Holanda, Douglas Silva, Deleon Hippolyto, Nádia Lopes, Natália Prata, Iuri Garcia, Nathan Serra, Diego Linhares.	Português.	2019.
66	Quem ri seus males espanta - Piadas - 2º ano	recursos/img/Desktop/Portugues/5/quemriseusmalesespanta.png	Jogo.	O recurso "Quem ri seus males espanta - Piadas - 2º ano" propõe a leitura crítica do gênero piada, estimulando que os alunos percebam e compreendam a ambiguidade trazida nos textos.<br><br><b>OBSERVAÇÃO:</b> Recurso requer habilitação do Flash no navegador.	Portugues	5	DPI3; DPI4; DPII18	windows; linux	chrome; edge	flash	recursos/recurso/Portugues/5/quemriseusmalesespantapiadas2ano.zip	recursos/recurso/Portugues/5/quemriseusmalesespantapiadas2ano/software/clique-me.html	Interpretação textual. Piada. Ambiguidade.	Portal do Professor.	Marcela Franco Fossey, Gisele Maria Franchi, Sírio Possenti, Projeto Condigital MEC - MCT, Universidade Estadual de Campinas - UNICAMP - Português.	Português.	2012.
67	Quadrinhos: O bidialetalismo nas histórias de gibi	recursos/img/Desktop/Portugues/5/quadrinhos.png	Exercício e prática.	O recurso “Quadrinhos: O bidialetalismo nas histórias de gibi” apresenta alguns dos vários tipos de variantes existentes na Língua Portuguesa falada no Brasil, a partir de histórias que se passam em diferentes regiões brasileiras.	Portugues	5	DPI1; DPI2; DPI3; DPI4; DPI5; DPII18; DPII19	windows; linux		flash	recursos/recurso/Portugues/5/quadrinhosobidialetalismonashistoriasdegibi.zip	recursos/recurso/Portugues/5/quadrinhosobidialetalismonashistoriasdegibi/stage.swf	Oralidade. Variantes linguísticas. Interpretação textual.	Portal do Professor.	Klaus Júnior Schlünzen, Danielle A. do Nascimento dos Santos, Camila Bruchmam, Luiz Gustavo Ferreira Zanotello, Liliane Santos Machado, Tereza Cristina Iwamoto de Oliveira, Jane Aparecida de Souza Santana, Elisa Tomoe Moriya Schlünzen, Daniela Cristina Barros de Souza, Ayrton Saito.	Português.	2010.
68	Vozes da cidade - Sexta e Cesta	recursos/img/Desktop/Portugues/5/sextacesta.png	Exercício e prática.	O recurso “Vozes da cidade - Sexta e Cesta” envolve reflexões sobre a importância da ortografia para a interpretação de palavras homófonas e para textos escritos que as utilizam.<br><br><b>OBSERVAÇÃO:</b> Recurso requer habilitação do Flash no navegador.	Portugues	5	DPI3; DPI4; DPII18; DPII19	windows; linux	chrome; edge	flash	recursos/recurso/Portugues/5/vozesdacidadesextaecesta.zip	recursos/recurso/Portugues/5/vozesdacidadesextaecesta/vozesdacidadesextaecesta/Software/iniciar.html	Ortografia. Palavras homófonas. Interpretação textual.	Portal do Professor.	Projeto Condigital MEC - MCT, Adilson Ventura da Silva, Eduardo R. J. Guimarães, Universidade Estadual de Campinas - UNICAMP - Português, Aruan Pereira da Costa.	Português.	2011.
69	Qual a sua opinião? Episódio IX - Capítulo III - A carta	recursos/img/Desktop/Portugues/5/qualsuaopiniao.png	Vídeo.	O recurso “Qual a sua opinião? Episódio IX - Capítulo III - A carta” é um vídeo que apresenta os recursos de construção do gênero discursivo carta e suas variações.	Portugues	5	DPI1; DPI6; DPI9	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/5/qualasuaopiniao.zip		Gênero discursivo. Carta. Variações.	Portal do Professor.	Bernardete Biasi Rodrigues, Instituto Atlântico, Faculdade Integrada Grande Fortaleza (FGF), Cibele Gadelha Bernardino, Projeto Condigital MEC - MCT, Andreia Turolo da Silva, Fátima Souza, Larissa Pereira de Almeida.	Português.	2011.
70	Mal - mau [Orto e grafia]	recursos/img/Desktop/Portugues/5/malmau.png	Vídeo.	O recurso “Mal - mau [Orto e grafia]” apresenta um episódio do "Programa Orto e Grafia". O vídeo busca trabalhar o uso escrito e falado de palavras que usam as letras ‘-u’ e ‘-l’ em posição final na sílaba.	Portugues	5	DPI1; DPII19	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/5/malmauortoegrafia.zip	recursos/recurso/Portugues/5/malmauortoegrafia.wma	Ortografia. Palavras com ‘-u’ e ‘-´l’ em fim de sílaba.	Portal do Professor.	Ministério da Educação (MEC), Portal Domínio Público.	Português.	2007.
72	Ortografia: palavras com sc [Orto e grafia]	recursos/img/Desktop/Portugues/5/ortografiapalavrascomsc.png	Vídeo.	O recurso “Ortografia: palavras com sc [Orto e grafia]” é um episódio do "Programa Orto e Grafia", da TV Escola. O vídeo apresenta a ortografia de palavras que possuem o dígrafo '-sc', dentre elas piscina, adolescência e crescendo.	Portugues	5	DPI1; DPII19	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/5/ortografiapalavrascomsc.zip	recursos/recurso/Portugues/5/ortografiapalavrascomsc.wma	Ortografia. Dígrafos. Palavras com ‘-sc’.	Banco Internacional de Objetos Educacionais (BIOE).	Ministério da Educação (MEC).	Português.	2008.
73	Nós e eles [Orto e Grafia]	recursos/img/Desktop/Portugues/5/noseelesortoegrafia.png	Vídeo.	O recurso “Nós e eles [Orto e grafia]” é um episódio do "Programa Orto e Grafia", apresentado pela TV Escola. O vídeo apresenta a concordância de alguns verbos no plural.	Portugues	5	DPI1; DPII19	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/5/noseeles.zip	recursos/recurso/Portugues/5/noseeles.wma	Concordância verbal. Conjugação de verbos.	Banco Internacional de Objetos Educacionais (BIOE).	Ministério da Educação (MEC).	Português.	2008.
74	Cedilha; dois pontos [Sua língua]	recursos/img/Desktop/Portugues/5/cedilhadoispontos.png	Vídeo.	O recurso “Cedilha; dois pontos [Sua língua]” é um episódio do "Programa Sua Língua", da TV Escola. O vídeo apresenta a utilização da cedilha, dos dois pontos e dos pronomes demonstrativos "este", "esta", "esse" e "essa".	Portugues	5	DPI1; DPI14; DPII18; DPII19	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/5/cedilhadoispontossualingua.zip	recursos/recurso/Portugues/5/cedilhadoispontossualingua.wma	Pontuação. Cedilha. Dois pontos. Morfologia. Pronomes demonstrativos.	Portal do Professor.	Ministério da Educação (MEC).	Português.	2009.
75	Português claro [Sua língua]	recursos/img/Desktop/Portugues/5/portuguesclaro.png	Vídeo.	O recurso “Português claro [Sua língua]” é um episódio do "Programa Sua língua", da TV Escola. O vídeo apresenta as ambiguidades observadas em alguns textos jornalísticos, que provocam a incompreensão por parte dos leitores. Além disso, o vídeo mostra a escrita e a adequação dos enunciados jornalísticos.	Portugues	5	DPI3; DPI4; DPI5; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/5/portuguesclarosualingua.zip	recursos/recurso/Portugues/5/portuguesclarosualingua.wma	Gênero jornalístico. Ambiguidade. Enunciados.	Portal do Professor.	Ministério da Educação (MEC).	Português.	2009.
76	Aquele ou este	recursos/img/Desktop/Portugues/5/aqueleoueste.png	Vídeo.	O recurso “Aquele ou este” é um vídeo do "Programete Mais Educação" que apresenta as regras para utilização dos pronomes demonstrativos "aquele" e "este", a partir de exemplos em frases.	Portugues	5	DPI1; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/5/aqueleoueste.zip	recursos/recurso/Portugues/5/revistadigitaldacrianca.swf	Pronomes demonstrativos. “Aquele” e “este”.	Portal do Professor.	Leandro Ferreira.	Português.	2008.
77	Pode e pôde	recursos/img/Desktop/Portugues/5/podeepode.png	Vídeo.	O recurso “Pode e pôde” é um vídeo do "Programete Mais Educação" que apresenta, por meio de exemplos em frases, as regras para utilização das formas verbais do verbo “poder”, dentre elas “pode” e “pôde”.	Portugues	5	DPI1; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/5/podeepode.zip	recursos/recurso/Portugues/5/podeepode.mpeg	Conjugação verbal. Concordância. “Pode” e “pôde”.	Portal do Professor.	Leandro Ferreira.	Português.	2008.
78	Seção ou sessão	recursos/img/Desktop/Portugues/5/secaoousessao.png	Vídeo.	O recurso “Seção ou sessão” é um vídeo do "Programete Mais Educação" que apresenta as regras para utilização das palavras “sessão” e “seção”, a partir de seus significados e de exemplos em frases.	Portugues	5	DPI1; DPI3; DPII18; DPII19	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/5/secaoousessao.zip	recursos/recurso/Portugues/5/secaoousessao.mpeg	Palavras homófonas. Ortografia. “Seção” e “sessão”.	Portal do Professor.	Leandro Ferreira.	Português.	2008.
79	Há ou a	recursos/img/Desktop/Portugues/5/haoua.png	Vídeo.	O recurso “Há ou a” é um vídeo do "Programete Mais Educação" que apresenta, por meio de exemplos em frases, as regras para utilização das palavras “há” e “a".	Portugues	5	DPI1; DPI3; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/5/haoua.zip	recursos/recurso/Portugues/5/haoua.mpeg	Palavras homófonas. Ortografia. Palavras "há" e "a".	Portal do Professor.	Leandro Ferreira.	Português.	2008.
80	Mal ou mau	recursos/img/Desktop/Portugues/5/maloumau.png	Vídeo.	O recurso “Mal ou mau” é um vídeo do "Programete Mais Educação" que apresenta, por meio de exemplos em frases, as regras de utilização das palavras “mal” e “mau”.	Portugues	5	DPI1; DPI3; DPII18; DPII19	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/5/maloumau.zip	recursos/recurso/Portugues/5/maloumau.mpeg	Palavras homófonas. Ortografia. “Mal” e “mau”.	Portal do Professor.	Leandro Ferreira.	Português.	2008.
81	Aventura no Mundo dos Quadrinhos	recursos/img/Desktop/Portugues/5/aventuranomundodosquadrinhos.png	Jogo.	O recurso “Aventura no Mundo dos Quadrinhos” trabalha com a competência leitora e os elementos multissemióticos do gênero do discurso Histórias em Quadrinhos (HQs). Por meio de atividades que tratam a composição do gênero e a interpretação textual, o recurso busca contemplar habilidades que envolvem o campo artístico-literário.	Portugues	5	DPI1; DPI4; DPI5; DPI6; DPI9; DPI14	windows; linux	chrome; firefox; edge		recursos/recurso/Portugues/5/aventuranomundodosquadrinhos.zip	recursos/recurso/Portugues/5/aventuranomundodosquadrinhos.zip	Leitura. Interpretação textual Gênero discursivo. Histórias em quadrinhos.	Plataforma MEC de Recursos Educacionais Digitais (RED) /  Grupo de Pesquisa e Produção de Ambientes Interativos e Objetos de Aprendizagem (PROATIVA).	Raquel Santiago Freire, Mércia Valéria Campos Figueiredo, Rayssa Araújo Hitzschky, Danilo Coêlho Sousa, José Aires de Castro Filho, Gilson Júnior, Antônio Melo Júnior, Henrique Pequeno, Márcio Moreira, Daniel Brandão, Julianne Holanda, Deleon Hippolyto, Nádia Lopes, Natália Prata, Iuri Garcia, João Victor de Alencar, Diego Linhares.	Português.	2019.
82	Vanguardas	recursos/img/Desktop/Portugues/6/vanguardas.png	Simulação.	O recurso "Vanguardas" apresenta os movimentos artísticos da Vanguarda Europeia, a partir da apresentação de seus artistas e suas obras.	Portugues	6	DPII1; DPII5; DPII6	windows; linux		flash	recursos/recurso/Portugues/6/vanguardas.zip	recursos/recurso/Portugues/6/vanguardas.swf	Vanguarda Europeia. Arte. Literatura.	Rede Interativa Virtual de Educação (RIVED).	Grupo RIVED UNIFRA.	Português.	Desconhecida.
83	Português popular	recursos/img/Desktop/Portugues/6/portuguespopular.png	Exercício e prática.	O recurso "Português popular" apresenta palavras e expressões usadas no português coloquial e as formas correspondentes utilizadas na variedade padrão da língua.<br><br><b>OBSERVAÇÃO:</b> Recurso requer habilitação do Flash no navegador.	Portugues	6	DPII3; DPII4; DPII18; DPII19	windows; linux	chrome; edge	flash	recursos/recurso/Portugues/6/portuguespopular.zip	recursos/recurso/Portugues/6/portuguespopular/SP207/P/clique-me.html	Português coloquial. Palavras. Expressões. Norma padrão.	Portal do Professor.	Vandersí Sant’Ana Castro, Projeto Condigital MEC - MCT, Ana Raquel Mota, Jully Liebl, Luana Mercúrio, Tania Maria Alkmim, Universidade Estadual de Campinas - UNICAMP - Português, Lilian do Rocio Borba.	Português.	2011.
87	Perdidos e separados - Episódio 1 do Programa Vozes da Cidade	recursos/img/Desktop/Portugues/6/perdidoseseparados.png	Jogo.	O recurso "Perdidos e separados - Episódio 1 do Programa Vozes da Cidade" trabalha com o reconhecimento e a compreensão de diferentes expressões populares e as suas formas correspondentes na linguagem formal.<br><br><b>OBSERVAÇÃO:</b> Recurso requer habilitação do Flash no navegador.	Portugues	6	DPII3; DPII4; DPII18; DPII19	windows; linux	chrome; edge	flash	recursos/recurso/Portugues/6/perdidoseseparados.zip	recursos/recurso/Portugues/6/perdidoseseparados/vozesDaCidade1/software/clique-me.html	Expressões populares. Gramática. Norma padrão.	Portal do Professor.	Suzy Lagazzi, Projeto Condigital MEC - MCT, Raquel Mascarenhas de Souza Meirelles, Universidade Estadual de Campinas - UNICAMP - Português, Carmen Zink Bolonhini.	Português.	2011.
89	Episódio 1 do Programa Sinistros – A Língua Portuguesa nos tempos de Getúlio Vargas - Como era antes?	recursos/img/Desktop/Portugues/6/comoeraantes.png	Exercício e prática.	O recurso “Episódio 1 do Programa Sinistros – A Língua Portuguesa nos tempos de Getúlio Vargas – Como era antes?” trabalha com a relação entre os sentidos e as mudanças históricas observadas nas palavras, trazendo como suporte teórico textos de apoio e um caça-palavras.<br><br><b>OBSERVAÇÃO:</b> Recurso requer habilitação do Flash no navegador.	Portugues	6	DPII3; DPII4; DPII18; DPII19	windows; linux	chrome; edge	flash	recursos/recurso/Portugues/6/alinguaportuguesanostemposdegetuliovargascomoeraantes.zip	recursos/recurso/Portugues/6/alinguaportuguesanostemposdegetuliovargascomoeraantes/P/clique-me.html	Linguagem escrita. Palavras. Evolução.	Portal do Professor.	Suzy Lagazzi, Projeto Condigital MEC - MCT, Universidade Estadual de Campinas - UNICAMP - Português, Cristiane Maria Megid, Carmen Zink Bolonhini.	Português.	2011.
90	Episódio 1 do Programa Sinistros – A Língua Portuguesa nos tempos de Getúlio Vargas - Jogo dos jogos	recursos/img/Desktop/Portugues/6/jogodosjogos.png	Exercício e prática.	O recurso “Episódio 1 do Programa Sinistros – A Língua Portuguesa nos tempos de Getúlio Vargas – Jogo dos jogos” trabalha com a leitura e a interpretação de textos, buscando estimular uma reflexão relacionada aos livros e à linguagem utilizada por eles.	Portugues	6	DPII4; DPII5; DPII6; DPII10; DPII18	windows; linux	chrome; firefox; edge		recursos/recurso/Portugues/6/alinguaportuguesanostemposdegetuliovargasjogodosjogos.zip	recursos/recurso/Portugues/6/alinguaportuguesanostemposdegetuliovargasjogodosjogos/Software/inicio.html	Livros. Leitura. Interpretação textual.	Portal do Professor.	Projeto Condigital MEC - MCT, Universidade Estadual de Campinas - UNICAMP - Português.	Português.	2011.
92	Imagens do Brasil III - Prefixos	recursos/img/Desktop/Portugues/6/imagensdobrasiliiiprefixos.png	Exercício e prática.	O recurso “Imagens do Brasil III - Prefixos” trabalha com a compreensão dos prefixos e os seus efeitos de sentido na língua escrita, a partir de exemplos em palavras e frases.<br><br><b>OBSERVAÇÃO:</b> Recurso requer habilitação do Flash no navegador.	Portugues	6	DPII3; DPII4; DPII18; DPII19	windows; linux	chrome; edge		recursos/recurso/Portugues/6/imagensdobrasiliiiprefixos.zip	recursos/recurso/Portugues/6/imagensdobrasiliiiprefixos/Software/iniciar.html	Gramática.Morfologia. Prefixos.	Portal do Professor.	Suzy Lagazzi, Projeto Condigital MEC - MCT, Universidade Estadual de Campinas - UNICAMP - Português, Carmen Zink Bolonhini, Gabriela Ferraz Granja.	Português.	2011.
93	Carlos Drummond de Andrade	recursos/img/Desktop/Portugues/6/carlosdrummond.png	Vídeo.	O recurso “Carlos Drummond de Andrade” é um vídeo do "Programa Mais Educação" que apresenta uma breve biografia de um dos poetas brasileiros mais influentes da literatura, Carlos Drummond de Andrade. O vídeo destaca e exemplifica os seus escritos.	Portugues	6	DPII1; DPII6	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/6/carlosdrummonddeandrade.zip	recursos/recurso/Portugues/6/carlosdrummonddeandrade.mwv	Leitura. Literatura. Carlos Drummond de Andrade.	Portal do Professor.	Leandro Ferreira.	Português.	2009.
